X profile_x,X profile_y
0.,0.6795571
1.,1.1503031688
2.,1.8895795166
3.,3.0122052579
4.,4.6598350055
5.,6.9955711706
6.,10.1916050775
7.,14.4088363677
8.,19.7688933943
9.,26.3210519083
10.,34.0088542257
11.,42.6431513479
12.,51.8890946351
13.,61.2736683419
14.,70.217427437
15.,78.0895076393
16.,84.2796393787
17.,88.2761856752
18.,89.7365434704
19.,88.5365872623
20.,84.7893824598
21.,78.8294082393
22.,71.1655077354
23.,62.4119278107
24.,53.2105822707
25.,44.1582587048
26.,35.7500103416
27.,28.3453704261
28.,22.1586911791
29.,17.2702237395
30.,13.6514952426
31.,11.1974733047
32.,9.7587217300
33.,9.1686382645
34.,9.2631907105
35.,9.8926984225
36.,10.9267466287
37.,12.2541406575
38.,13.7799850062
39.,15.4217028985
40.,17.1053149404
41.,18.7627523741
42.,20.3305080322
43.,21.7495794681
44.,22.9664402633
45.,23.9346677238
46.,24.6168298342
47.,24.9862647311
48.,25.0284510643
49.,24.7417521870
50.,24.1374100798
51.,23.2387575749
52.,22.0797024632
53.,20.7026081286
54.,19.1557475293
55.,17.4905375188
56.,15.7587678064
57.,14.0100247494
58.,12.2894781788
59.,10.6361546370
60.,9.081768608
61.,7.6501304778
62.,6.3571013903
63.,5.2110250988
64.,4.2135381996
65.,3.3606440911
66.,2.6439325003
67.,2.0518340464
68.,1.570815669
69.,1.1864448497
70.,0.8842752147
71.,0.6505303598
72.,0.472584174
73.,0.3392528922
74.,0.2409257834
75.,0.1695677421
76.,0.1186287238
77.,0.0828929484
78.,0.0582962957
79.,0.0417344901
80.,0.0308785099
81.,0.0240078976
82.,0.0198677452
83.,0.0175513006
84.,0.0164074048
85.,0.0159702196
86.,0.0159077644
87.,0.0159854614
88.,0.0160410033
89.,0.0159672511
90.,0.0157004287
91.,0.0152114996
92.,0.0144992287
93.,0.0135839955
94.,0.0125018951
95.,0.0112990233
96.,0.0100260771
97.,0.0087335220
98.,0.0074675904
99.,0.0062673198
