side-lobe 1,side-lobe 2,side-lobe 3,side-lobe 4,side-lobe 5,side-lobe 6,main lobe
485925,491345,493838,502818,492518,483046,486460
486950,491505,494160,503498,493050,482685,487995
487115,491345,493535,502894,493445,483655,488085
485395,491405,493540,502476,492758,482333,487295
486205,491510,493750,503290,492623,482923,487760
485725,490955,493763,501820,493155,483296,486825
486640,490975,493745,502707,492380,483045,487535
486545,492405,494430,503276,493413,482965,487530
486130,490825,493865,502029,492653,482600,486685
487280,492040,493965,503275,492743,483040,488300
485870,490698,494045,503024,492050,482500,487260
485300,490830,492970,502718,491910,482251,487175
486610,491305,494000,502239,492601,482800,486960
486465,491800,493185,502763,492618,481875,486745
487040,490455,493005,502204,492310,482778,486790
487040,492505,494655,503957,492961,482958,487520
486225,490850,493196,503697,492823,482835,487135
486530,491125,494105,503300,493231,483450,487255
485840,491635,493768,502650,492550,482255,486790
486700,491635,494040,502656,493065,483308,488070
486410,491490,494255,502855,492515,483790,487055
486295,490390,493400,503187,492440,482530,486700
486185,490870,493000,502364,492615,483318,486770
486545,491445,494505,502388,492153,482120,486660
486350,491130,493735,502483,492756,482943,487185
487265,491985,494530,503366,493465,483840,488055
487315,491135,494555,503828,492518,482745,488210
486135,490960,493580,503034,493381,483180,487295
485895,491045,493275,503396,492965,482485,487265
486235,491410,494148,502630,492530,483368,486645
486050,490805,493171,502091,492363,482783,486210
486205,492065,494880,503848,493283,483725,487700
486128,491010,493680,502751,493235,482895,486690
486195,491185,493975,503346,493130,482720,487175
486085,491298,493575,502835,493080,482650,486485
486665,491815,493470,502702,492585,482085,486960
485580,490960,492790,502486,492891,483018,486750
485665,491290,493600,502655,492405,482725,487190
485850,490760,493500,502790,492546,482955,487630
486220,491175,493660,502526,492425,483668,486845
486140,490870,493250,503292,492645,482605,486780
485815,491500,493773,502629,492563,482785,487075
486085,490290,492855,502146,493193,483503,486830
485000,490750,493385,502904,492110,482000,486385
485365,490530,493365,502756,491546,482425,486895
485370,490135,492950,502417,491230,481425,486740
485540,490535,492435,502227,491948,482160,486680
484945,489820,492748,501159,492108,482221,485630
485940,490845,493585,502004,492235,482640,486645
485795,490975,493195,501481,492030,482490,486120
